year_month,account_hashed,account_segment,account_first_year,event,count
2024_1,ae639ab062,large_providers,False,dashboard_viewed,7
2024_1,96413ad122,large_providers,False,dashboard_viewed,20
2024_1,54ad08f469,large_operators,False,dashboard_viewed,60
2024_1,269cc20265,large_providers,False,dashboard_viewed,9
2024_1,160115b15b,large_providers,False,dashboard_viewed,36
2024_1,7474149952,large_operators,False,dashboard_viewed,5
2024_1,7636d47a99,finance_insurance,False,dashboard_viewed,7
2024_1,f8940cf44d,legal_consulting_gov,False,dashboard_viewed,23
2024_1,6cfffe5ba7,large_providers,False,dashboard_viewed,60
2024_1,29e133362c,large_providers,False,dashboard_viewed,8
2024_1,9b4e5f4ff1,legal_consulting_gov,False,dashboard_viewed,11
2024_1,9d07d09d71,large_providers,False,dashboard_viewed,45
2024_1,496f035830,legal_consulting_gov,False,dashboard_viewed,3
2024_1,9dc6f5ed6b,large_providers,False,dashboard_viewed,15
2024_1,535a2406f7,finance_insurance,False,dashboard_viewed,2
2024_1,07f0a8ee11,finance_insurance,False,dashboard_viewed,36
2024_1,137abc00b1,finance_insurance,False,dashboard_viewed,7
2024_1,70e9c8c8c9,legal_consulting_gov,False,dashboard_viewed,7
2024_1,4f7a756846,large_providers,False,dashboard_viewed,1
2024_1,9af8a18c94,large_providers,False,dashboard_viewed,7
2024_1,a80d054652,finance_insurance,False,dashboard_viewed,5
2024_1,f7f9090fbf,large_providers,False,dashboard_viewed,2
2024_1,dc229f23d3,legal_consulting_gov,False,dashboard_viewed,33
2024_1,0f59a2f7a5,finance_insurance,False,dashboard_viewed,116
2024_1,de07a82621,large_providers,False,dashboard_viewed,2
2024_1,a5871a05b3,legal_consulting_gov,False,dashboard_viewed,31
2024_1,5888dcbbbb,,False,dashboard_viewed,27
2024_1,c9207b134d,legal_consulting_gov,False,dashboard_viewed,1
2024_1,6afc416887,large_providers,False,dashboard_viewed,1
2024_1,d1a034f172,large_providers,False,dashboard_viewed,1
2024_1,8ae7dc2afb,mid_operators,False,dashboard_viewed,3
2024_1,42f9de16c2,large_providers,False,dashboard_viewed,7
2024_1,c58151ead2,finance_insurance,False,dashboard_viewed,1
2024_1,89591b0a3d,mid_operators,False,dashboard_viewed,2
2024_1,b912d2c618,large_providers,False,dashboard_viewed,45
2024_1,790465263,finance_insurance,False,dashboard_viewed,5
2024_1,04876d28be,finance_insurance,False,dashboard_viewed,10
2024_1,9c62725905,large_providers,False,dashboard_viewed,4
2024_1,5c06bf2d3a,,,dashboard_viewed,7
2024_1,ab8c25c4e4,legal_consulting_gov,False,dashboard_viewed,57
2024_1,4359dfc83e,finance_insurance,False,dashboard_viewed,28
2024_1,84c4d37d57,large_operators,False,dashboard_viewed,33
2024_1,f65d4ac1c4,large_providers,False,dashboard_viewed,17
2024_1,824e85071e,large_providers,False,dashboard_viewed,22
2024_1,19c30ee689,large_providers,False,dashboard_viewed,16
2024_1,576053c931,legal_consulting_gov,False,dashboard_viewed,37
2024_1,73d2114762,large_providers,False,dashboard_viewed,23
2024_1,e58a674d55,finance_insurance,False,dashboard_viewed,87
2024_1,466aa03fc3,large_providers,False,dashboard_viewed,5
2024_1,ad91b12abd,legal_consulting_gov,False,dashboard_viewed,1
2024_1,279cfecc03,large_providers,False,dashboard_viewed,33
2024_1,9c2dde05c0,large_providers,False,dashboard_viewed,5
2024_1,e9fc3c8f31,large_providers,False,dashboard_viewed,2
2024_1,2dd31dbd2e,large_providers,False,dashboard_viewed,29
2024_1,66b3f199f8,finance_insurance,False,dashboard_viewed,11
2024_1,47cc620957,legal_consulting_gov,False,dashboard_viewed,3
2024_1,79856794ce,legal_consulting_gov,False,dashboard_viewed,5
2024_1,d97dfe6345,mid_providers,False,dashboard_viewed,10
2024_1,59404497c3,legal_consulting_gov,False,dashboard_viewed,12
2024_1,c93c7cd1f4,large_providers,False,dashboard_viewed,4
2024_1,f596f6e142,finance_insurance,False,dashboard_viewed,2
2024_1,56fb3d6e6b,mid_operators,False,dashboard_viewed,1
2024_1,f78deed67a,large_providers,False,dashboard_viewed,2
2024_1,8c49bc9bc5,legal_consulting_gov,False,dashboard_viewed,2
